State,Job Seq No.,Batch/Job No.,HPA MIPS No.,Job Name,Form Name,Ctl Docs,Extractions,Lodge QTY,Date,Time,Aust Post Lodgement No,Outstanding
NSW,I08.19,6518,304221,I#BLP1B1,BLAOMR,115,0,115,12-07-07,13:54,1296567,0
NSW,I08.23,6520,304338,I#BLP2B3,SA220P,2,0,2,12-07-07,08:09,1294822,0
NSW,I08.27,6521,304340,I#BLP2B9,SA383(I),3,0,3,12-07-07,13:55,1296568,0
NSW,I08.29,6522,304350,I#BL02C1,BLASTOLA,1,0,1,12-07-07,10:40,1295313,0
NSW,K08.9,44681,304246,K#BLP1A1,CUST-ACCT,6457,0,6457,12-07-07,06:53,1294743,0
NSW,K08.21,44684,304222,K#BLP1R1,FTBNONLODGE,1,0,1,12-07-07,13:54,1296566,0
NSW,K08.25,44685,304285,K#BLP1B1,BLAOMR,14107,0,14092,12-07-07,07:43,1294783,15
NSW,K08.29,44687,304248,K#BLP1A2,COLBECK,743,0,743,12-07-07,10:39,1295311,0
NSW,K08.30,44688,304347,K#BLP2A5,BLASU19,4752,0,4748,12-07-07,10:59,1295400,4
NSW,K08.33,44691,304337,K#BLP2B2,SU19YELLOW,8,0,8,12-07-07,10:39,1295310,0
NSW,K08.41,44695,304339,K#BLP2C2,COLSU19,30,0,30,12-07-07,10:32,1295293,0
NSW,K08.44,44698,304353,K#BL02C1,BLASTOLA,560,0,560,12-07-07,10:42,1295321,0
NSW,K08.45,H28411,304342,K#PYCH39,SS360,191,0,191,12-07-07,10:41,1295319,0
NSW,K08.46,H28731,304358,K#TXDA2,TXDA,183,0,183,12-07-07,10:31,1295288,0
NSW,R08.9,43847,304247,R#BLP1A1,CUST-ACCT,6169,0,6169,12-07-07,06:52,1294742,0
NSW,R08.29,43852,304249,R#BLP1A2,COLBECK,761,0,761,12-07-07,10:35,1295298,0
NSW,R08.30,43853,304352,R#BLP2A5,BLASU19,6438,0,6438,12-07-07,13:05,1296238,0
NSW,R08.33,43856,304344,R#BLP2B2,SU19YELLOW,7,0,7,12-07-07,10:40,1295317,0
NSW,R08.41,43860,304348,R#BLP2C2,COLSU19,55,0,55,12-07-07,10:33,1295295,0
NSW,R08.44,43862,304354,R#BL02C1,BLASTOLA,594,0,594,12-07-07,10:40,1295315,0
NSW,R08.45,H28421,304343,R#PYCH39,SS360,73,0,73,12-07-07,10:42,1295320,0
NSW,R08.46,H28711,304356,R#TXDA2,TXDA,184,0,184,12-07-07,10:40,1295314,0
NSW,R20.58,101010,302230,R#TXFY05,TXFY-DPID,25000,0,29,12-07-07,12:59,1296149,0
NSW,S07.961,H25481,304081,S#CEHCC1,SS357,15427,0,15237,12-07-07,07:42,1294782,0
NSW,S07.961,H25481,304081,S#CEHCC1,SS357,15427,0,190,12-07-07,18:46,1298694,0
NSW,S08.985,44800,304250,S#BLP1A1,CUST-ACCT,7381,0,7378,12-07-07,06:51,1294741,3
NSW,S08.1001,44803,304287,S#BLP1B1,BLAOMR,16242,0,16233,12-07-07,09:09,1294958,9
